codigo_act,descripcion,categoria_negocio
532492,Actividad no identificada,otro
532310,Actividad no identificada,otro
531319,Actividad no identificada,otro
531114,Actividad no identificada,otro
531311,Actividad no identificada,otro
531119,Actividad no identificada,otro
531111,Actividad no identificada,otro
532282,Actividad no identificada,otro
532110,Actividad no identificada,otro
532281,Actividad no identificada,otro
531112,Actividad no identificada,otro
532411,Actividad no identificada,otro
531116,Actividad no identificada,otro
532493,Actividad no identificada,otro
532289,Actividad no identificada,otro
532122,Actividad no identificada,otro
532420,Actividad no identificada,otro
531115,Actividad no identificada,otro
533110,Actividad no identificada,otro
532121,Actividad no identificada,otro
532491,Actividad no identificada,otro
532210,Actividad no identificada,otro
541941,Actividad no identificada,otro
541920,Actividad no identificada,otro
541510,Actividad no identificada,otro
541110,Actividad no identificada,otro
541310,Actividad no identificada,otro
541610,Actividad no identificada,otro
541330,Actividad no identificada,otro
541219,Actividad no identificada,otro
541430,Actividad no identificada,otro
541190,Actividad no identificada,otro
541211,Actividad no identificada,otro
541690,Actividad no identificada,otro
541810,Actividad no identificada,otro
541890,Actividad no identificada,otro
541380,Actividad no identificada,otro
541120,Actividad no identificada,otro
541620,Actividad no identificada,otro
541340,Actividad no identificada,otro
541930,Actividad no identificada,otro
541420,Actividad no identificada,otro
541490,Actividad no identificada,otro
541350,Actividad no identificada,otro
541370,Actividad no identificada,otro
541990,Actividad no identificada,otro
541711,Actividad no identificada,otro
541850,Actividad no identificada,otro
541360,Actividad no identificada,otro
541410,Actividad no identificada,otro
541860,Actividad no identificada,otro
541942,Actividad no identificada,otro
541870,Actividad no identificada,otro
541910,Actividad no identificada,otro
541712,Actividad no identificada,otro
541320,Actividad no identificada,otro
541721,Actividad no identificada,otro
541840,Actividad no identificada,otro
551111,Actividad no identificada,otro
551112,Actividad no identificada,otro
561610,Actividad no identificada,otro
562921,Actividad no identificada,otro
561422,Actividad no identificada,otro
561510,Actividad no identificada,otro
561432,Actividad no identificada,otro
561110,Actividad no identificada,otro
561330,Actividad no identificada,otro
561910,Actividad no identificada,otro
562121,Actividad no identificada,otro
561440,Actividad no identificada,otro
561320,Actividad no identificada,otro
561620,Actividad no identificada,otro
561210,Actividad no identificada,otro
561310,Actividad no identificada,otro
561431,Actividad no identificada,otro
561421,Actividad no identificada,otro
561490,Actividad no identificada,otro
562221,Actividad no identificada,otro
561740,Actividad no identificada,otro
561920,Actividad no identificada,otro
561790,Actividad no identificada,otro
562112,Actividad no identificada,otro
561720,Actividad no identificada,otro
561710,Actividad no identificada,otro
561990,Actividad no identificada,otro
562211,Actividad no identificada,otro
562998,Actividad no identificada,otro
562111,Actividad no identificada,otro
562122,Actividad no identificada,otro
561590,Actividad no identificada,otro
561450,Actividad no identificada,otro
561520,Actividad no identificada,otro
561410,Actividad no identificada,otro
562911,Actividad no identificada,otro
561730,Actividad no identificada,otro
611621,Actividad no identificada,otro
611698,Actividad no identificada,otro
611112,Escuelas de educación primaria,educacion
611611,Actividad no identificada,otro
611412,Actividad no identificada,otro
611511,Actividad no identificada,otro
611171,Actividad no identificada,otro
611631,Actividad no identificada,otro
611212,Actividad no identificada,otro
611111,Escuelas de educación preescolar,educacion
611161,Actividad no identificada,otro
611312,Actividad no identificada,otro
611691,Actividad no identificada,otro
611122,Actividad no identificada,otro
611181,Actividad no identificada,otro
611182,Actividad no identificada,otro
611311,Actividad no identificada,otro
611211,Actividad no identificada,otro
611411,Actividad no identificada,otro
611162,Actividad no identificada,otro
611132,Actividad no identificada,otro
611142,Actividad no identificada,otro
611121,Actividad no identificada,otro
611151,Actividad no identificada,otro
611512,Actividad no identificada,otro
611172,Actividad no identificada,otro
611431,Actividad no identificada,otro
611699,Actividad no identificada,otro
611622,Actividad no identificada,otro
611131,Actividad no identificada,otro
611421,Actividad no identificada,otro
611141,Actividad no identificada,otro
611152,Actividad no identificada,otro
611422,Actividad no identificada,otro
611710,Actividad no identificada,otro
621331,Actividad no identificada,otro
621113,Actividad no identificada,otro
621211,Actividad no identificada,otro
624191,Actividad no identificada,otro
623221,Actividad no identificada,otro
